@relation test_nov-1-30

@attribute ip numeric
@attribute ' rt_w/o_ACK' numeric
@attribute ' rt_under_3' numeric
@attribute ' max_ips_1sub' numeric
@attribute ' max_high' numeric
@attribute ' max_low' numeric
@attribute ' max_cnsc_high' numeric
@attribute ' max_cnsc_low' numeric
@attribute ' num_uniq_dsts' numeric
@attribute ' num_uniq_srcp' numeric
@attribute ' avg_srcp/dst' numeric
@attribute ' rt_std_flags' numeric
@attribute ' rt_over_60' numeric
@attribute ' med_pack/dst' numeric
@attribute ' rt_std_pttrn' numeric
@attribute ' rt_bksctr_pttrn' numeric
@attribute ' rt_dst' numeric
@attribute ' rt_srcp' numeric
@attribute ' rt_bksctr_flags' numeric
@attribute ' min_pack' numeric
@attribute ' max_pack' numeric
@attribute ' mean_pack' numeric
@attribute ' std_dev_pack' numeric
@attribute ' min_dur' numeric
@attribute ' max_dur' numeric
@attribute ' mean_dur' numeric
@attribute ' std_dev_dur' numeric
@attribute ' min_bytes' numeric
@attribute ' max_bytes' numeric
@attribute ' mean_bytes' numeric
@attribute ' std_dev_bytes' numeric
@attribute ' min_bpp' numeric
@attribute ' max_bpp' numeric
@attribute ' mean_bpp' numeric
@attribute ' std_dev_bpp' numeric
@attribute ' tcp_count' numeric
@attribute ' udp_count' numeric
@attribute ' label' numeric

@data
1791403,1,1,2,0,1,1,1,242,234,1,0,0,2,0,0,1,0.966942,0,2,2,2,0,2.816,3.168,2.963702,0.070118,96,96,96,0,48,48,48,0,242,0,1
1791419,1,1,2,0,1,1,1,174,169,1,0,0,2,0,0,1,0.971264,0,2,2,2,0,2.816,3.072,2.953931,0.054826,96,96,96,0,48,48,48,0,174,0,1
1791589,1,1,2,0,1,1,1,246,241,1,0,0,2,0,0,1,0.979675,0,2,2,2,0,2.816,3.2,2.971187,0.069456,96,96,96,0,48,48,48,0,246,0,1
1791617,1,1,2,0,1,1,1,245,237,1,0,0,2,0,0,1,0.967347,0,2,2,2,0,2.816,3.072,2.956016,0.054485,96,96,96,0,48,48,48,0,245,0,1
1791715,1,1,2,0,1,1,1,68,66,1,0,0,2,0,0,1,0.970588,0,2,2,2,0,2.784,3.104,2.944941,0.059563,96,96,96,0,48,48,48,0,68,0,1
1791730,1,1,2,1,1,1,1,189,185,1.005291,0,0.005263,2,0,0,0.994737,0.973684,0,1,2,1.994737,0.072152,0,3.104,2.935074,0.220128,96,131,96.184211,2.525312,48,131,48.436842,5.988597,189,1,1
1792016,1,1,2,0,1,1,1,52,51,1,0,0,2,0,0,1,0.980769,0,2,2,2,0,2.848,3.104,2.974769,0.053613,96,96,96,0,48,48,48,0,52,0,1
1792153,1,1,1,0,1,1,1,128,128,1,0,0,2,0,0,1,1,0,2,2,2,0,2.816,3.104,2.95775,0.047047,96,96,96,0,48,48,48,0,128,0,1
1792192,1,1,3,0,1,1,1,400,379,1.0025,0,0,2,0,0,0.997506,0.945137,0,1,2,1.992519,0.086003,0,3.168,2.935142,0.261013,48,96,95.640898,4.128127,48,48,48,0,401,0,1
1792573,1,1,1,0,1,1,1,76,75,1,0,0,2,0,0,1,0.986842,0,2,2,2,0,2.816,3.072,2.949053,0.057747,96,96,96,0,48,48,48,0,76,0,1
