@relation sample_features_100_ips

@attribute ip numeric
@attribute a numeric
@attribute b numeric
@attribute c numeric
@attribute d numeric
@attribute e numeric
@attribute f numeric
@attribute g numeric
@attribute h numeric
@attribute i numeric
@attribute j numeric
@attribute k numeric
@attribute l numeric
@attribute m numeric
@attribute n numeric
@attribute o numeric
@attribute p numeric
@attribute q numeric
@attribute r numeric
@attribute s numeric
@attribute t numeric
@attribute u numeric
@attribute v numeric
@attribute w numeric
@attribute x numeric
@attribute y numeric
@attribute z numeric
@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute blah numeric
@attribute threev numeric
@attribute something numeric
@attribute aa numeric
@attribute ab numeric
@attribute ac numeric
@attribute af numeric
@attribute ag numeric
@attribute ap numeric

@data
1780844,1,1,1,0,0,0,0,0,0,2,1,0,0,1,0,0,0,1,0.5,0,1,1,1,0,0,0,0,0,315,315,315,0,315,315,315,0,0,2
1781233,1,1,1,0,0,0,0,0,0,55,55,0,0,0,0,0,0,1,1,0,2,2,2,0,2.816,3.072,2.959709,0.061729,96,96,96,0,48,48,48,0,55,0
1781433,1,0.861111,3,0,0,0,0,0,0,11,1,0,0,1,0,0,0,0.305556,0.027778,0,1,6,1.833333,1.272627,0,38.4,5.259556,8.813111,95,1632,563.888889,363.114169,95,487,320.305556,77.190151,0,36
1781499,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,46,46,46,0,46,46,46,0,0,1
1781527,1,1,3,0,0,0,0,0,0,611,613,0,0,0,0,0,0,0.991883,0.99513,0,1,2,1.99026,0.098019,0,3.168,2.927221,0.298097,52,104,103.493507,5.097011,52,52,52,0,616,0
1781858,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,131,131,131,0,131,131,131,0,0,1
1782037,1,0.785714,1,0,0,0,0,0,0,3,8,0,0,0.285714,0,0,0,0.214286,0.571429,0,1,3,1.571429,0.748879,0,8.032,0.877714,1.639761,58,315,121.357143,73.254371,48,315,85.928571,65.574709,3,11
1782242,1,1,1,0,0,0,0,0,0,8,1,0,0,1,0,0,0,0.727273,0.090909,0,1,1,1,0,0,0,0,0,90,300,169.818182,72.619247,90,300,169.818182,72.619247,0,11
1782601,1,1,2,0,0,0,0,0,0,238,229,0,0,0.008403,0,0,0,1,0.962185,0,1,2,1.991597,0.090622,0,3.104,2.932437,0.273858,96,315,97.067227,14.204927,48,315,49.470588,17.903434,236,2
1782978,1,1,2,0,0,0,0,0,0,136,131,0,0,0.014706,0,0,0,1,0.963235,0,1,2,1.985294,0.119872,0,3.104,2.910118,0.358104,96,134,96.536765,4.379083,48,134,49.242647,10.130827,134,2
1783526,1,1,2,0,0,0,0,0,0,317,316,0,0,0,0,0,0,0.996855,0.993711,0,1,2,1.993711,0.078873,0,3.168,2.958289,0.245223,52,104,103.672956,4.101382,52,52,52,0,318,0
1783617,1,1,2,0,0,0,0,0,0,190,184,0,0,0,0,0,0,1,0.968421,0,2,2,2,0,2.784,3.136,2.949726,0.068517,96,96,96,0,48,48,48,0,190,0
1783656,0,0.288546,2,0,0,0,0,0,0,14,447,0,0.696035,0.367841,0,0.361233,0,0.030837,0.984581,0.696035,1,482,13.632159,33.460701,0,35.328,9.387207,6.636226,41,29201,1567.039648,3183.41786,40,436,83.843612,71.306943,454,0
1783730,1,0.997191,2,0,0,0,0,0,0,355,343,0,0,0,0,0,0,0.997191,0.963483,0,1,3,2,0.074734,0,3.072,2.946966,0.187002,48,144,96,3.587215,48,48,48,0,356,0
1783951,1,1,1,0,0,0,0,0,0,28,28,0,0,0,0,0,0,1,1,0,2,2,2,0,2.816,3.072,2.948571,0.066119,96,96,96,0,48,48,48,0,28,0
1784437,0.016722,0.682274,2,0,0,0,0,0,0,9,32,0,0.026756,0.147157,0,0.016722,0.010033,0.0301,0.107023,0.036789,1,109,7.270903,13.179664,0,60.672,8.598689,17.47686,44,10443,496.143813,1118.807306,40,147,51.237458,19.557835,297,2
1784466,1,1,1,0,0,0,0,0,0,117,117,0,0,0,0,0,0,1,1,0,2,2,2,0,2.816,3.168,2.958496,0.06583,96,96,96,0,48,48,48,0,117,0
1785057,1,1,2,0,0,0,0,0,0,223,212,0,0,0,0,0,0,1,0.950673,0,1,2,1.995516,0.066651,0,3.104,2.952466,0.205487,48,96,95.784753,3.199233,48,48,48,0,223,0
1785903,1,1,3,0,0,0,0,0,0,73,73,0,0,0,0,0,0,1,1,0,2,2,2,0,2.816,3.072,2.939178,0.050123,96,96,96,0,48,48,48,0,73,0
1786113,0,0,1,0,0,0,0,0,0,1,4,0,1,0.25,0,0.25,0,0.25,1,1,5,8,5.75,1.125,0.416,5.472,1.688,1.89203,268,394,323.75,41.358464,49,69,56.75,5.813209,4,0
1786149,1,1,2,0,0,0,0,0,0,74,73,0,0,0,0,0,0,1,0.986486,0,2,2,2,0,2.816,3.104,2.95827,0.056794,96,96,96,0,48,48,48,0,74,0
1786174,1,1,3,0,0,0,0,0,0,804,723,0,0,0,0,0,0,0.991369,0.891492,0,1,2,1.996301,0.056958,0,3.072,2.942422,0.178787,48,96,95.822441,2.733999,48,48,48,0,811,0
1786275,1,1,1,0,0,0,0,0,0,2,1,0,0,1,0,0,0,1,0.5,0,1,1,1,0,0,0,0,0,126,126,126,0,126,126,126,0,0,2
1786433,1,1,2,0,0,0,0,0,0,60,60,0,0,0,0,0,0,1,1,0,2,2,2,0,2.816,3.072,2.941333,0.052114,96,96,96,0,48,48,48,0,60,0
1786530,1,1,1,0,0,0,0,0,0,69,69,0,0,0,0,0,0,1,1,0,2,2,2,0,2.816,3.104,2.963478,0.062512,96,96,96,0,48,48,48,0,69,0
1786593,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,1,1,11,11,11,0,13.664,13.664,13.664,0,745,745,745,0,67,67,67,0,1,0
1786656,1,1,1,0,0,0,0,0,0,6,3,0,0,1,0,0,0,0.4,0.2,0,1,1,1,0,0,0,0,0,126,126,126,0,126,126,126,0,0,15
1787017,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,129,129,129,0,129,129,129,0,0,1
1787035,1,1,1,0,0,0,0,0,0,60,60,0,0,0,0,0,0,1,1,0,2,2,2,0,2.816,3.168,2.962133,0.06875,96,96,96,0,48,48,48,0,60,0
1787086,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,131,131,131,0,131,131,131,0,0,1
1787346,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,315,315,315,0,315,315,315,0,0,1
1787482,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,131,131,131,0,131,131,131,0,0,1
